date,open,high,low,close,volume
2020-05-06,182.08,184.2,181.6306,182.54,32029937.0
2020-05-05,180.62,183.65,179.9,180.76,36839168.0
2020-05-04,174.49,179.0,173.8,178.84,30372862.0
2020-05-01,175.8,178.64,174.01,174.57,39370474.0
2020-04-30,180.0,180.4,176.23,179.21,53875857.0
2020-04-29,173.22,177.68,171.88,177.43,51286559.0
2020-04-28,175.4556,175.67,169.39,169.81,34392694.0
2020-04-27,176.59,176.9,173.3,174.05,33194384.0
2020-04-24,172.06,174.56,170.71,174.55,34305320.0
2020-04-23,174.11,175.06,170.91,171.42,32790804.0
2020-04-22,171.39,174.0,170.82,173.52,34651604.0
2020-04-21,173.5,173.6699,166.1102,167.82,56203749.0
2020-04-20,176.63,178.75,174.99,175.06,36669595.0
2020-04-17,179.5,180.0,175.87,178.6,52765625.0
2020-04-16,174.3,177.28,172.9,177.04,50479610.0
2020-04-15,171.2,173.57,169.24,171.88,40940833.0
2020-04-14,169.0,173.75,168.0,173.7,52874338.0
2020-04-13,164.35,165.57,162.3,165.51,41905264.0
2020-04-09,166.36,167.37,163.33,165.14,51431775.0
2020-04-08,165.67,166.67,163.5,165.13,48318234.0
2020-04-07,169.5923,170.0,163.26,163.49,62769038.0
2020-04-06,160.32,166.5,157.58,165.27,67111697.0
2020-04-03,155.1,157.38,152.19,153.83,41243284.0
2020-04-02,151.86,155.48,150.36,155.26,49630735.0
2020-04-01,153.0,157.75,150.82,152.11,57969926.0
2020-03-31,159.4,164.78,156.56,157.71,77927186.0
2020-03-30,152.44,160.6,150.01,160.23,63420326.0
2020-03-27,151.75,154.89,149.2,149.7,57042291.0
2020-03-26,148.4,156.66,148.37,156.11,64694427.0
2020-03-25,148.91,154.33,144.44,146.92,75638224.0
2020-03-24,143.75,149.6,141.27,148.34,82516727.0
2020-03-23,137.01,140.57,132.52,135.98,78975176.0
2020-03-20,146.0,147.1,135.86,137.35,84866215.0
2020-03-19,142.77,150.15,139.0,142.71,85922661.0
2020-03-18,138.0,146.0,135.02,140.4,81593173.0
2020-03-17,140.0,147.4998,135.0,146.57,81059817.0
2020-03-16,140.0,149.35,135.0,135.42,87905868.0
2020-03-13,147.5,161.91,140.73,158.83,92727446.0
2020-03-12,145.3,153.47,138.58,139.06,93226366.0
2020-03-11,157.1304,157.7,151.15,153.63,56504304.0
2020-03-10,158.16,161.03,152.58,160.92,65354385.0
2020-03-09,151.0,157.75,150.0,150.62,70419274.0
2020-03-06,162.61,163.11,156.0,161.57,72821057.0
